window_id,entity_id,container_id,machine_id,start_index,end_index,start_time,end_time,app_du,container_status,machine_status,split,anomaly_score,feature_error_vector,top_feature_rank,top_k_features,top_k_feature_errors,window_position,label,predicted_label,threshold,score_over_threshold
42663,c_26776,c_26776,m_1924,876,899,671140,680220,471.0,0.0,0.0,test,19.119314,"[0.0598299466073513, 0.03961968794465065, 0.04575914144515991, 152.2934112548828, 0.017376618459820747, 0.047596950083971024, 0.04077404364943504, 0.4101439416408539]","[3, 7, 0, 5, 2, 6, 1, 4]","['mem_gps', 'disk_io', 'cpu_util', 'net_in', 'cpi']","[152.2934112548828, 0.4101439416408539, 0.0598299466073513, 0.047596950083971024, 0.04575914144515991]",428,0,1,5.500068187713623,13.619246
77058,c_11474,c_11474,m_2672,936,959,718710,733500,546.0,0.0,0.0,test,17.725811,"[0.2956235408782959, 0.26423805952072144, 0.25742462277412415, 140.2737579345703, 0.1623138040304184, 0.05970098450779915, 0.026597201824188232, 0.46682190895080566]","[3, 7, 0, 1, 2, 4, 5, 6]","['mem_gps', 'disk_io', 'cpu_util', 'mem_util', 'cpi']","[140.2737579345703, 0.46682190895080566, 0.2956235408782959, 0.26423805952072144, 0.25742462277412415]",13421,0,1,5.500068187713623,12.225742
9911,c_21383,c_21383,m_1185,960,983,723300,733490,681.0,0.0,0.0,test,16.973057,"[0.3493616580963135, 0.3897627294063568, 0.19534726440906525, 134.02333068847656, 0.2903975248336792, 0.06618542224168777, 0.028565511107444763, 0.44150856137275696]","[3, 7, 1, 0, 4, 2, 5, 6]","['mem_gps', 'disk_io', 'mem_util', 'cpu_util', 'mpki']","[134.02333068847656, 0.44150856137275696, 0.3897627294063568, 0.3493616580963135, 0.2903975248336792]",13420,0,1,5.500068187713623,11.472988
41984,c_26546,c_26546,m_1903,798,821,664170,680220,533.0,0.0,0.0,test,16.877968,"[0.03964729607105255, 0.03446417674422264, 0.14037048816680908, 134.35191345214844, 0.06718689948320389, 0.03667429834604263, 0.03325127810239792, 0.3202355206012726]","[3, 7, 2, 4, 0, 5, 1, 6]","['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']","[134.35191345214844, 0.3202355206012726, 0.14037048816680908, 0.06718689948320389, 0.03964729607105255]",427,0,1,5.500068187713623,11.377899
158504,c_28294,c_28294,m_913,990,1013,738840,752170,190.0,0.0,0.0,test,16.771332,"[0.3021588623523712, 0.004784692544490099, 0.14528466761112213, 127.94243621826172, 0.24437744915485382, 4.679785251617432, 0.5383221507072449, 0.3135060667991638]","[3, 5, 6, 7, 0, 4, 2, 1]","['mem_gps', 'net_in', 'net_out', 'disk_io', 'cpu_util']","[127.94243621826172, 4.679785251617432, 0.5383221507072449, 0.3135060667991638, 0.3021588623523712]",18104,1,1,5.500068187713623,11.271263
48849,c_21403,c_21403,m_2086,978,1001,748610,760970,243.0,0.0,0.0,test,16.332026,"[0.20118176937103271, 0.05863533541560173, 0.27098432183265686, 129.45542907714844, 0.16955578327178955, 0.07393502444028854, 0.08516623824834824, 0.3413223922252655]","[3, 7, 2, 0, 4, 6, 5, 1]","['mem_gps', 'disk_io', 'cpi', 'cpu_util', 'mpki']","[129.45542907714844, 0.3413223922252655, 0.27098432183265686, 0.20118176937103271, 0.16955578327178955]",20302,0,1,5.500068187713623,10.831957
81839,c_29214,c_29214,m_2808,924,947,668680,680220,315.0,0.0,0.0,test,15.489549,"[0.03378264233469963, 0.0720636323094368, 0.21457220613956451, 122.95221710205078, 0.05793510377407074, 0.06288037449121475, 0.0579068660736084, 0.4650405943393707]","[3, 7, 2, 1, 5, 4, 6, 0]","['mem_gps', 'disk_io', 'cpi', 'mem_util', 'net_in']","[122.95221710205078, 0.4650405943393707, 0.21457220613956451, 0.0720636323094368, 0.06288037449121475]",429,0,1,5.500068187713623,9.989481
82665,c_12432,c_12432,m_2821,876,899,679830,695960,444.0,0.0,0.0,test,15.2549305,"[0.05531684681773186, 0.12656062841415405, 0.6698400974273682, 119.54683685302734, 0.060493823140859604, 0.7186281681060791, 0.4816935062408447, 0.3800748288631439]","[3, 5, 2, 6, 7, 1, 4, 0]","['mem_gps', 'net_in', 'cpi', 'net_out', 'disk_io']","[119.54683685302734, 0.7186281681060791, 0.6698400974273682, 0.4816935062408447, 0.3800748288631439]",4350,0,1,5.500068187713623,9.754862
71368,c_11181,c_11181,m_255,900,923,719470,733490,567.0,0.0,0.0,test,15.249006,"[0.346299409866333, 0.5171049237251282, 0.17071658372879028, 120.43314361572266, 0.2848531901836395, 0.05346416309475899, 0.02336900494992733, 0.1631040871143341]","[3, 1, 0, 4, 2, 7, 5, 6]","['mem_gps', 'mem_util', 'cpu_util', 'mpki', 'cpi']","[120.43314361572266, 0.5171049237251282, 0.346299409866333, 0.2848531901836395, 0.17071658372879028]",13419,0,1,5.500068187713623,9.748938
160334,c_16042,c_16042,m_940,978,1001,748210,760980,9.0,0.0,0.0,test,15.119082,"[0.21070744097232819, 0.0568603090941906, 0.27492645382881165, 119.69603729248047, 0.19042159616947174, 0.0602068156003952, 0.07972081005573273, 0.38377663493156433]","[3, 7, 2, 0, 4, 6, 5, 1]","['mem_gps', 'disk_io', 'cpi', 'cpu_util', 'mpki']","[119.69603729248047, 0.38377663493156433, 0.27492645382881165, 0.21070744097232819, 0.19042159616947174]",20303,0,1,5.500068187713623,9.619015
