window_id,namespace,pod,container,anomaly_score,top_k_features,structured_json,label,severity,explanation,recommended_action
130,kube-system,cadvisor-b8456,cadvisor,0.04645921,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
127,kube-system,cadvisor-b8456,cadvisor,0.04643993,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
97,kube-flannel,kube-flannel-ds-dl8kh,kube-flannel,0.046391774,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
163,kube-system,kube-proxy-glzhb,kube-proxy,0.04635371,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
61,default,chcekone-8464c69d8f-zgw7w,nginx,0.04635325,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
94,kube-flannel,kube-flannel-ds-dl8kh,kube-flannel,0.046349455,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
160,kube-system,kube-proxy-glzhb,kube-proxy,0.046341386,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
193,monitoring,kube-state-metrics-79d59f7d7d-bclm5,kube-state-metrics,0.04627519,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
64,default,chcekone-8464c69d8f-zgw7w,nginx,0.04625391,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
28,default,chcekone-8464c69d8f-mnr5t,nginx,0.04620224,"[""['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']"", ['cpu_util', 'mem_util', 'net_out', 'mem_rss', 'mem_cache']]","{'label': 'false_positive', 'severity': 'none', 'explanation': 'Reconstruction error only marginally exceeded threshold, so the alert is likely noise.', 'recommended_action': 'Keep monitoring and require repeated threshold crossings before escalation.'}",false_positive,none,"Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
